more,slowly,than,she,had,lifted,1
and,then,with,the,other,paw,1
do,try,theres,a,dear,and,1
up,the,side,of,the,fender,1
would,you,like,to,live,in,1
him,however,she,could,find,nothing,1
kitty,alice,began,youd,have,guessed,1
up,one,finger,im,going,to,1
dont,make,a,memorandum,of,it,1
writing,for,him,the,poor,king,1
you,understood,it,and,when,i,1
king,so,violently,that,she,knocked,1
hug,the,little,lily,in,silence,1
with,ashes,from,head,to,foot,1
of,it,when,i,get,upon,1
recovered,and,he,and,the,queen,1
in,the,summer,kitty,they,dress,1
and,knees,watching,them,the,chessmen,1
and,it,wants,plenty,of,sticks,1
said,she,was,hard,at,work,1
corner,of,the,great,arm,chair,1
the,middle,oh,you,wicked,little,1
do,lets,pretend,that,im,a,1
to,know,whether,theyve,a,fire,1
whisper,for,fear,of,frightening,them,1
can,tell,you,know,unless,our,1
its,very,like,our,passage,as,1
the,day,before,all,because,alice,1
it,with,great,curiosity,to,see,1
if,some,one,was,kissing,the,1
i,suppose,when,the,day,came,1
king,went,on,i,shall,never,1
kitty,now,we,come,to,the,1
was,a,fire,in,the,fireplace,1
to,sleep,darlings,till,the,summer,1
and,folded,your,arms,youd,look,1
like,her,now,do,try,theres,1
for,the,white,kitten,had,been,1
but,this,is,taking,us,away,1
much,id,far,rather,go,without,1
the,face,of,a,little,old,1
him,drop,upon,the,floor,oh,1
said,this,though,she,hardly,knew,1
the,last,quarter,of,an,hour,1
that,because,ive,held,up,one,1
been,having,its,face,washed,by,1
i,declare,itll,be,easy,enough,1
say,for,yourself,now,dont,interrupt,1
,,,looking,glass,house,1
floor,and,yards,and,yards,of,1
could,be,seen,from,the,old,1
him,and,at,last,he,panted,1
ashes,she,said,afterwards,that,she,1
lily,my,imperial,kitten,and,she,1
two,here,are,the,red,king,1
moment,alice,was,through,the,glass,1
they,had,a,fire,well,then,1
demurely,on,her,knee,pretending,to,1
out,of,his,pocket,and,began,1
was,all,meant,for,its,good,1
a,fire,in,the,fireplace,and,1
and,alice,got,the,red,queen,1
to,be,going,without,a,dinner,1
entirely,for,the,white,kitten,had,1
and,speaking,in,as,cross,a,1
only,the,things,go,the,other,1
in,the,old,room,thought,alice,1
herself,than,the,kitten,what,would,1
but,the,king,took,no,notice,1
and,she,was,quite,pleased,to,1
rubbed,its,face,all,over,the,1
than,she,had,lifted,the,queen,1
tell,you,half,the,things,alice,1
made,when,he,found,himself,held,1
if,it,hadnt,been,for,that,1
you,unwound,every,bit,of,the,1
into,the,arm,chair,taking,the,1
shovel,and,here,are,two,castles,1
some,time,without,saying,anything,but,1
see,the,bonfire,to,morrow,here,1
that,it,might,see,how,sulky,1
when,the,miserable,day,came,i,1
other,room,how,would,you,like,1
the,glass,and,then,they,hold,1
the,rest,and,once,she,had,1
at,that,rate,id,far,better,1
just,now,as,i,said,she,1
and,then,they,hold,up,one,1
i,could,see,that,bit,i,1
there,are,the,white,king,and,1
got,any,whiskers,the,horror,of,1
looked,puzzled,and,unhappy,and,struggled,1
they,couldnt,because,there,were,only,1
its,arms,properly,so,to,punish,1
they,dress,themselves,all,in,green,1
gasped,and,sat,down,the,rapid,1
mind,the,volcano,what,volcano,said,1
get,upon,a,chair,all,but,1
one,paw,and,gently,touching,the,1
the,great,arm,chair,half,talking,1
id,far,rather,go,without,them,1
bearing,it,pretty,well,considering,so,1
just,as,if,you,understood,it,1
never,mind,kitty,well,go,and,1
common,and,uninteresting,but,that,all,1
first,she,held,the,poor,thing,1
one,blazing,away,as,brightly,as,1
hour,and,bearing,it,pretty,well,1
kitten,and,the,worsted,with,her,1
i,but,the,king,took,no,1
oh,such,beautiful,things,in,it,1
as,she,noticed,several,of,the,1
fire,in,the,fireplace,and,she,1
a,memorandum,of,it,alice,looked,1
and,not,talk,so,much,ill,1
getting,to,the,table,at,that,1
